;32;64;128;256;512;1024
16;524288;0.067744
16;1048576;0.129504
16;2097152;0.250944
16;4194304;0.494848
16;8388608;0.982208
32;1024;0.006976
32;2048;0.006656
32;4096;0.00688
32;8192;0.0072
32;16384;0.007872
32;32768;0.009056
32;65536;0.010912
32;131072;0.014496
32;262144;0.024448
32;524288;0.042912
32;1048576;0.07824
32;2097152;0.15376
32;4194304;0.295232
32;8388608;0.967808
64;1024;0.007072
64;2048;0.007104
64;4096;0.006944
64;8192;0.007584
64;16384;0.007936
64;32768;0.007936
64;65536;0.010016
64;131072;0.015328
64;262144;0.02128
64;524288;0.042368
64;1048576;0.08128
64;2097152;0.156704
64;4194304;0.302688
64;8388608;0.608
128;1024;0.006848
128;2048;0.006688
128;4096;0.0072
128;8192;0.007616
128;16384;0.007776
128;32768;0.007744
128;65536;0.009248
128;131072;0.01536
128;262144;0.024768
128;524288;0.040064
128;1048576;0.079136
128;2097152;0.164192
128;4194304;0.302752
128;8388608;0.57728
256;1024;0.006752
256;2048;0.006816
256;4096;0.00672
256;8192;0.007648
256;16384;0.008896
256;32768;0.007744
256;65536;0.009536
256;131072;0.0136
256;262144;0.02768
256;524288;0.042048
256;1048576;0.080864
256;2097152;0.157792
256;4194304;0.307968
256;8388608;0.598112
512;1024;0.006944
512;2048;0.006656
512;4096;0.006944
512;8192;0.007616
512;16384;0.008096
512;32768;0.007872
512;65536;0.008576
512;131072;0.015776
512;262144;0.025184
512;524288;0.042592
512;1048576;0.08224
512;2097152;0.152
512;4194304;0.30256
512;8388608;0.610464
1024;1024;0.00736
1024;2048;0.007424
1024;4096;0.006944
1024;8192;0.007744
1024;16384;0.008352
1024;32768;0.00832
1024;65536;0.0096
1024;131072;0.0152
1024;262144;0.021792
1024;524288;0.041952
1024;1048576;0.077472
1024;2097152;0.153632
1024;4194304;0.296384
1024;8388608;0.593888
